Stall,Zone,Total People,Team,Team Size
Stall 1,HW,11,PITCH PERFECT,4
Stall 1,HW,11,Baymax,4
Stall 1,HW,11,tanmays2006,3
Stall 2,HW,10,HearWell,4
Stall 2,HW,10,ThermaLogic,4
Stall 2,HW,10,akshaysa2003,2
Stall 3,HW,9,Tesla Core,4
Stall 3,HW,9,Ignitron,4
Stall 3,HW,9,ScuffedEng..,1
Stall 4,SW,10,Hackstreet Boys,4
Stall 4,SW,10,LuminaForge,4
Stall 4,SW,10,Sustains,1
Stall 4,SW,10,PatchifAI,1
Stall 5,SW,10,ARUNATHESH D R,4
Stall 5,SW,10,IntruderX,4
Stall 5,SW,10,synthriapvtltd,1
Stall 5,SW,10,vibhutikumar..,1
Stall 6,SW,10,Elevate,4
Stall 6,SW,10,Mavericks,4
Stall 6,SW,10,Green Fusion,1
Stall 6,SW,10,AgentSentry,1
Stall 7,SW,10,sush200506,4
Stall 7,SW,10,AXIOM,3
Stall 7,SW,10,TRICOMM,3
Stall 8,SW,10,TIPS,4
Stall 8,SW,10,Technovators,3
Stall 8,SW,10,HeX,3
Stall 9,SW,10,CODE WHISPER..,4
Stall 9,SW,10,GARUDA,3
Stall 9,SW,10,technicalghana,2
Stall 9,SW,10,Medi Bridge,1
Stall 10,SW,10,prekshamoovana,4
Stall 10,SW,10,alanbiju560043,3
Stall 10,SW,10,induchowdhury,2
Stall 10,SW,10,TestTeamSK,1
Stall 11,SW,9,FULCRUM,4
Stall 11,SW,9,gyanavrana7037,3
Stall 11,SW,9,AEGIS,2
Stall 12,SW,9,Faultline,4
Stall 12,SW,9,GENESIS,3
Stall 12,SW,9,Fintrix,2
Stall 13,SW,9,Agro4,4
Stall 13,SW,9,AGRANOVA,3
Stall 13,SW,9,medhaharish,2
Stall 14,SW,9,Alpha,4
Stall 14,SW,9,smrithisbtech24,3
Stall 14,SW,9,BioSentinal,2